date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2003-09-08,494.18,497.91,489.72,492.8,6853859895,2003,9,8
2003-09-09,492.8,498.06,489.95,490.25,6693086130,2003,9,9
2003-09-10,490.25,495.34,484.73,495.32,8805215190,2003,9,10
2003-09-11,495.32,500.15,490.54,491.88,10507155269,2003,9,11
2003-09-12,491.88,499.56,490.92,498.22,8583280803,2003,9,12
2003-09-15,498.22,507.71,498.22,505.8,7148064549,2003,9,15
2003-09-16,505.8,508.27,500.01,507.08,7847278407,2003,9,16
2003-09-17,507.08,512.06,500.2,502.12,10387886559,2003,9,17
2003-09-18,502.12,505.75,499.74,501.86,6816615865,2003,9,18
2003-09-19,501.86,504.84,494.02,497.37,6876328358,2003,9,19
2003-09-22,497.37,497.62,490.38,492.65,4520003691,2003,9,22
2003-09-23,492.65,504.67,492.64,504.52,6830739562,2003,9,23
2003-09-24,504.52,512.56,504.52,507.72,8837417107,2003,9,24
2003-09-25,507.72,508.52,503.29,503.83,4867488050,2003,9,25
2003-09-26,503.83,507.68,499.99,502.62,4593741714,2003,9,26
2003-09-29,502.62,516.12,501.35,516.03,6576829114,2003,9,29
2003-09-30,516.03,520.54,514.04,515.17,8576045086,2003,9,30
2003-10-01,515.17,523.57,513.18,521.11,7830742967,2003,10,1
2003-10-02,521.11,533.95,521.11,533.25,10096400036,2003,10,2
2003-10-03,533.25,547.07,533.25,535.8,12852058884,2003,10,3
2003-10-06,535.8,540.56,530.15,540.56,7079492164,2003,10,6
2003-10-07,540.56,550.38,540.56,546.32,11877041465,2003,10,7
2003-10-08,546.32,570.11,533.11,567.52,20409685680,2003,10,8
2003-10-09,567.52,584.14,557.42,559.35,13446464787,2003,10,9
2003-10-10,559.35,560.39,547.83,550.64,7271153549,2003,10,10
2003-10-13,550.64,567.49,550.64,567.38,7875122938,2003,10,13
2003-10-14,567.38,586.7,567.38,570.67,14357297649,2003,10,14
2003-10-15,570.67,579.36,568.06,572.16,8068388147,2003,10,15
2003-10-16,572.16,582.83,572.16,580.1,10075999927,2003,10,16
2003-10-17,580.1,583.62,577.32,583.1,9168837480,2003,10,17
2003-10-20,583.1,591.32,578.74,579.67,11508259031,2003,10,20
2003-10-21,579.67,580.75,549.2,553.45,11924739364,2003,10,21
2003-10-22,553.45,553.45,525.62,527.12,11794157516,2003,10,22
2003-10-23,527.12,532.82,521.96,530.91,8140486622,2003,10,23
2003-10-24,530.91,541.95,530.56,536.0,4886156318,2003,10,24
2003-10-27,536.0,536.0,454.46,500.42,14751874208,2003,10,27
2003-10-28,500.42,516.26,495.44,509.67,11789748425,2003,10,28
2003-10-29,509.67,512.29,485.73,498.35,14008156572,2003,10,29
2003-10-30,498.35,498.35,448.39,448.76,12865767656,2003,10,30
