date,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day,hour
2017-02-20 14:00:00,140000,2116.71,2124.74,2116.16,2123.29,2181841942,2017,2,20,14
2017-02-20 15:00:00,150000,2123.51,2128.69,2121.22,2128.55,1854377557,2017,2,20,15
2017-02-20 16:00:00,160000,2128.59,2131.28,2123.75,2124.39,2106076120,2017,2,20,16
2017-02-20 17:00:00,170000,2124.44,2125.92,2121.25,2123.44,2234258271,2017,2,20,17
2017-02-20 18:00:00,180000,2123.56,2126.0,2114.06,2114.08,2602715231,2017,2,20,18
2017-02-20 19:00:00,190000,2114.04,2119.77,2113.76,2119.09,3201031684,2017,2,20,19
2017-02-21 11:00:00,110000,2118.85,2120.81,2111.55,2117.92,2966098186,2017,2,21,11
2017-02-21 12:00:00,120000,2117.93,2127.05,2112.78,2126.04,3997527093,2017,2,21,12
2017-02-21 13:00:00,130000,2126.23,2134.47,2126.19,2131.78,3698683831,2017,2,21,13
2017-02-21 14:00:00,140000,2132.1,2135.97,2130.0,2130.77,2905516366,2017,2,21,14
2017-02-21 15:00:00,150000,2130.77,2131.14,2127.12,2129.68,2342110208,2017,2,21,15
2017-02-21 16:00:00,160000,2129.67,2132.08,2129.67,2130.61,1856297752,2017,2,21,16
2017-02-21 17:00:00,170000,2130.55,2131.97,2127.58,2130.55,1818958003,2017,2,21,17
2017-02-21 18:00:00,180000,2130.58,2130.92,2127.87,2128.46,1903458134,2017,2,21,18
2017-02-21 19:00:00,190000,2128.47,2128.47,2122.39,2127.72,4313608351,2017,2,21,19
2017-02-22 11:00:00,110000,2128.98,2130.63,2119.42,2129.7,2825652132,2017,2,22,11
2017-02-22 12:00:00,120000,2129.64,2130.74,2118.73,2123.47,4187574450,2017,2,22,12
2017-02-22 13:00:00,130000,2123.47,2125.21,2117.73,2119.93,2831240217,2017,2,22,13
2017-02-22 14:00:00,140000,2119.93,2121.4,2116.4,2117.49,2197729824,2017,2,22,14
2017-02-22 15:00:00,150000,2117.52,2117.96,2111.08,2112.17,2530895307,2017,2,22,15
2017-02-22 16:00:00,160000,2112.15,2112.4,2106.77,2107.28,3818648117,2017,2,22,16
2017-02-22 17:00:00,170000,2107.28,2110.95,2097.43,2099.6,4012090996,2017,2,22,17
2017-02-22 18:00:00,180000,2099.53,2101.56,2095.38,2095.98,4189197036,2017,2,22,18
2017-02-22 19:00:00,190000,2096.04,2107.93,2094.85,2106.3,5150124789,2017,2,22,19
2017-02-24 11:00:00,110000,2106.96,2106.96,2094.73,2101.13,3529687446,2017,2,24,11
2017-02-24 12:00:00,120000,2101.12,2104.8,2095.35,2097.46,3597974525,2017,2,24,12
2017-02-24 13:00:00,130000,2097.49,2098.62,2085.77,2087.64,3710659982,2017,2,24,13
2017-02-24 14:00:00,140000,2087.51,2087.62,2083.07,2086.56,2200560260,2017,2,24,14
2017-02-24 15:00:00,150000,2086.57,2087.37,2081.35,2081.89,2534464273,2017,2,24,15
2017-02-24 16:00:00,160000,2081.71,2086.4,2081.68,2086.03,1793061483,2017,2,24,16
2017-02-24 17:00:00,170000,2086.21,2090.34,2084.11,2088.39,1583599402,2017,2,24,17
2017-02-24 18:00:00,180000,2088.77,2095.44,2088.54,2090.56,2751538781,2017,2,24,18
2017-02-24 19:00:00,190000,2090.54,2093.09,2088.94,2093.09,2996490691,2017,2,24,19
2017-02-27 11:00:00,110000,2095.51,2097.2,2085.98,2088.83,2967309138,2017,2,27,11
2017-02-27 12:00:00,120000,2088.84,2089.23,2072.55,2073.15,5783157929,2017,2,27,12
2017-02-27 13:00:00,130000,2073.14,2075.26,2068.58,2074.47,3866846421,2017,2,27,13
2017-02-27 14:00:00,140000,2074.38,2076.54,2067.82,2068.4,2023192891,2017,2,27,14
2017-02-27 15:00:00,150000,2068.41,2069.44,2066.27,2067.65,2655050475,2017,2,27,15
2017-02-27 16:00:00,160000,2067.65,2068.84,2065.47,2067.64,2162200840,2017,2,27,16
2017-02-27 17:00:00,170000,2067.65,2068.63,2060.94,2064.12,3188828298,2017,2,27,17
2017-02-27 18:00:00,180000,2064.11,2064.42,2054.93,2058.99,5199235711,2017,2,27,18
2017-02-27 19:00:00,190000,2059.08,2061.31,2056.46,2056.46,5675879521,2017,2,27,19
2017-02-28 11:00:00,110000,2057.74,2057.77,2032.19,2035.39,10356691495,2017,2,28,11
2017-02-28 12:00:00,120000,2035.19,2053.59,2027.06,2050.84,10319662550,2017,2,28,12
2017-02-28 13:00:00,130000,2050.81,2050.81,2037.71,2040.42,4082364174,2017,2,28,13
2017-02-28 14:00:00,140000,2040.41,2040.77,2034.26,2034.7,3679583277,2017,2,28,14
2017-02-28 15:00:00,150000,2034.69,2042.35,2032.03,2039.0,3850636476,2017,2,28,15
2017-02-28 16:00:00,160000,2038.97,2039.3,2031.99,2033.52,3426137771,2017,2,28,16
2017-02-28 17:00:00,170000,2033.53,2039.03,2031.9,2038.74,4042732402,2017,2,28,17
2017-02-28 18:00:00,180000,2038.75,2039.8,2027.05,2028.14,7089942073,2017,2,28,18
2017-02-28 19:00:00,190000,2028.19,2036.83,2028.18,2035.77,8087215107,2017,2,28,19
2017-03-01 11:00:00,110000,2034.28,2049.4,2030.49,2043.68,6443220944,2017,3,1,11
2017-03-01 12:00:00,120000,2043.65,2051.32,2038.8,2047.67,6705330633,2017,3,1,12
2017-03-01 13:00:00,130000,2047.72,2053.6,2046.69,2052.35,3529762780,2017,3,1,13
2017-03-01 14:00:00,140000,2052.36,2053.76,2049.44,2051.58,2253090564,2017,3,1,14
2017-03-01 15:00:00,150000,2051.56,2055.65,2044.08,2055.1,2988793719,2017,3,1,15
2017-03-01 16:00:00,160000,2055.18,2058.22,2054.01,2056.84,2358203730,2017,3,1,16
2017-03-01 17:00:00,170000,2056.94,2060.86,2053.42,2060.44,2577417941,2017,3,1,17
2017-03-01 18:00:00,180000,2060.42,2062.57,2054.05,2062.48,3308194496,2017,3,1,18
2017-03-01 19:00:00,190000,2062.51,2063.67,2059.87,2059.87,4992345643,2017,3,1,19
2017-03-02 11:00:00,110000,2062.61,2073.08,2060.53,2068.68,5115418812,2017,3,2,11
2017-03-02 12:00:00,120000,2068.73,2076.71,2062.02,2068.48,6629681984,2017,3,2,12
2017-03-02 13:00:00,130000,2068.66,2070.31,2056.37,2058.28,3815282396,2017,3,2,13
